transaction_id,station_id,timestamp,ticket_type,passenger_category,entry_station,exit_station,travel_duration,fare_amount,payment_method
TXN00000024,DEL148,2024-11-25 05:59:00,Smart Card,Senior Citizen,Palam,Mayur Vihar Phase-1,34,36,NCMC Card
TXN00000025,DEL105,2024-11-15 23:27:00,Smart Card,Student,Jhilmil,Rajdhani Park,60,45,Cash
TXN00000026,DEL049,2024-11-29 19:47:00,Smart Card,General,Uttam Nagar West,Sir Vishweshwaraiah Moti Bagh,39,36,Cash
TXN00000027,HYD028,2024-10-02 18:53:00,Monthly Pass,General,Raidurg,Begumpet,23,27,NCMC Card
TXN00000028,MUM043,2024-10-05 05:05:00,Token,General,Vidhan Bhavan,Dahisar East,68,60,NCMC Card
TXN00000029,DEL125,2024-12-17 07:42:00,Monthly Pass,Senior Citizen,Kailash Colony,Udyog Bhawan,36,36,Cash
TXN00000030,CHN006,2024-12-24 22:40:00,Smart Card,General,Little Mount,St. Thomas Mount,16,27,Credit/Debit Card
TXN00000031,HYD038,2024-10-10 09:03:00,Token,General,Prakash Nagar,Begumpet,7,10,Cash
TXN00000032,LKO006,2024-12-18 11:41:00,QR Ticket,General,Alambagh Bus Station,Durgapuri,13,20,UPI
TXN00000033,HYD012,2024-10-14 05:04:00,Monthly Pass,General,Punjagutta,Yusufguda,19,27,UPI
TXN00000034,DEL198,2024-12-25 10:09:00,QR Ticket,Student,Ashok Park Main,Green Park,30,30,Credit/Debit Card
TXN00000035,PUN015,2024-10-09 16:00:00,QR Ticket,General,Vanaz,Kalyani Nagar,37,40,Cash
TXN00000036,HYD007,2024-11-08 11:40:00,Monthly Pass,Tourist,Bharat Nagar,HITEC City,23,27,Cash
TXN00000037,DEL188,2024-11-07 18:11:00,Token,General,Anand Vihar ISBT,Karol Bagh,32,40,Credit/Debit Card
TXN00000038,DEL072,2024-12-20 12:12:00,QR Ticket,General,Mayur Vihar Phase-1,Central Secretariat,23,30,UPI
TXN00000039,HYD032,2024-11-09 14:53:00,Smart Card,Senior Citizen,Peddamma Gudi,LB Nagar,45,45,Credit/Debit Card
TXN00000040,DEL063,2024-12-23 18:29:00,Smart Card,Differently-abled,Karol Bagh,Chirag Delhi,6,9,Metro App
TXN00000041,MUM047,2024-12-02 18:30:00,Smart Card,Women,Kalbadevi,Marol Naka,33,36,Cash
TXN00000042,DEL134,2024-10-13 13:10:00,QR Ticket,Women,Badarpur Border,Haiderpur Badli Mor,73,60,UPI
TXN00000043,CHN005,2024-10-26 12:51:00,QR Ticket,Women,St. Thomas Mount,Washermanpet,29,40,Cash
TXN00000044,DEL018,2024-10-28 19:37:00,QR Ticket,General,Central Secretariat,Sadar Bazar Cantonment,15,30,UPI
TXN00000045,DEL165,2024-11-01 22:02:00,Smart Card,General,Kalindi Kunj,Malviya Nagar,43,36,Metro App
TXN00000046,BLR024,2024-10-01 08:05:00,Token,Student,Baiyappanahalli,Vijayanagar,26,30,Cash
TXN00000047,BLR052,2024-11-04 15:26:00,Smart Card,General,Srirampura,Kundalahalli,38,36,UPI
TXN00000048,BLR039,2024-11-08 10:00:00,QR Ticket,General,Chikkabidarakallu,Goraguntepalya,14,30,UPI
TXN00000049,AGR011,2024-12-04 08:49:00,Token,Student,Jama Masjid,SN Medical College,11,10,Cash
TXN00000050,DEL024,2024-10-21 18:02:00,Monthly Pass,General,Green Park,East Vinod Nagar,47,45,UPI
TXN00000051,DEL044,2024-10-14 19:59:00,Token,General,Dwarka Sector 13,Govind Puri,44,40,Cash
TXN00000052,MUM003,2024-11-23 08:43:00,QR Ticket,Women,Azad Nagar,Marol Naka,10,10,UPI
TXN00000053,DEL040,2024-10-29 06:37:00,Smart Card,General,Dwarka Sector 9,Dwarka Sector 10,5,9,Metro App
TXN00000054,DEL203,2024-10-25 18:17:00,Smart Card,General,Paschim Vihar West,Kohat Enclave,20,27,UPI
TXN00000055,BLR004,2024-10-22 19:14:00,Token,Women,Pattanagere,Deepanjali Nagar,14,20,Cash
TXN00000056,BLR040,2024-10-12 11:33:00,Monthly Pass,General,Manjunathanagar,Hosahalli,25,27,Credit/Debit Card
TXN00000057,NGP031,2024-11-01 09:27:00,Token,General,Nagpur Railway Station,Rahate Colony,13,20,Metro App
TXN00000058,DEL119,2024-11-30 19:32:00,Monthly Pass,General,Janpath,Samaypur Badli,37,36,NCMC Card
TXN00000059,MUM050,2024-12-11 19:44:00,QR Ticket,Student,Mumbai Central Metro,Acharya Atre Chowk,10,20,Credit/Debit Card
TXN00000060,DEL054,2024-11-09 08:29:00,Smart Card,Women,Subhash Nagar,Badarpur Border,45,36,Cash
TXN00000061,DEL091,2024-11-17 18:45:00,Token,Student,Kohat Enclave,Shakurpur,8,10,Cash
TXN00000062,KOL013,2024-12-18 16:50:00,Smart Card,General,Park Street,Baranagar,18,27,Cash
TXN00000063,BLR021,2024-11-16 21:07:00,QR Ticket,General,Halasuru,Yelachenahalli,23,30,NCMC Card
TXN00000064,DEL069,2024-10-27 08:21:00,QR Ticket,General,Indraprastha,Badarpur Border,39,40,UPI
TXN00000065,MUM062,2024-10-29 10:57:00,Monthly Pass,General,CSIA Domestic Airport,Poisar,27,36,Cash
TXN00000066,DEL012,2024-10-16 13:34:00,QR Ticket,Student,Kashmere Gate,Jhandewalan,23,30,NCMC Card
TXN00000067,DEL129,2024-10-09 08:56:00,Monthly Pass,General,Harkesh Nagar Okhla,Durgabai Deshmukh South Campus,55,45,UPI
TXN00000068,AMD008,2024-12-29 08:09:00,Smart Card,Women,Shahpur,Thaltej Gam,11,18,NCMC Card
TXN00000069,BLR019,2024-11-14 11:47:00,QR Ticket,Student,MG Road,Vajarahalli,21,30,UPI
TXN00000070,DEL191,2024-11-22 17:41:00,Monthly Pass,Student,Krishna Nagar,Dwarka Sector 9,52,45,UPI
TXN00000071,NGP027,2024-10-17 21:19:00,QR Ticket,General,Dharampeth,Nagpur Railway Station,12,20,UPI
TXN00000072,MUM064,2024-11-28 23:39:00,Smart Card,Women,CSIA International Airport,Girgaon,32,36,Cash
TXN00000073,DEL214,2024-10-20 08:07:00,QR Ticket,General,Tikri Border,Trilokpuri Sanjay Lake,57,50,UPI
TXN00000074,DEL046,2024-11-10 23:09:00,QR Ticket,General,Dwarka,Sultanpur,20,30,NCMC Card
TXN00000075,DEL055,2024-10-19 22:59:00,Smart Card,General,Tagore Garden,Paschim Vihar East,21,27,UPI
TXN00000076,HYD055,2024-11-07 23:48:00,QR Ticket,Tourist,Chikkadpally,Gandhi Bhavan,9,20,NCMC Card
TXN00000077,DEL118,2024-12-01 21:08:00,QR Ticket,Student,ITO,Punjabi Bagh,27,30,UPI
TXN00000078,DEL128,2024-12-17 18:37:00,Smart Card,General,Govind Puri,Dwarka Sector 21,42,36,Metro App
TXN00000079,HYD011,2024-10-12 23:25:00,Token,General,Ameerpet,Balanagar,17,30,UPI
TXN00000080,KOC023,2024-11-17 10:00:00,Smart Card,General,Vadakkekotta,Changampuzha Park,17,27,UPI
TXN00000081,KNP019,2024-11-23 20:18:00,Token,General,Basant Vihar,Kalyanpur,28,40,Cash
TXN00000082,HYD022,2024-11-08 13:55:00,QR Ticket,General,New Market,Habsiguda,16,30,UPI
TXN00000083,KOC015,2024-11-04 11:35:00,Smart Card,General,MG Road,Palarivattom,10,9,NCMC Card
TXN00000084,AMD006,2024-11-08 20:19:00,Smart Card,General,Gandhigram,Shahpur Extended,8,9,Cash
TXN00000085,DEL174,2024-12-21 13:41:00,Smart Card,Student,Delhi Cantt,Green Park,43,36,UPI
TXN00000086,DEL199,2024-12-03 23:04:00,Smart Card,General,Punjabi Bagh,Tughlakabad,58,45,UPI
TXN00000087,MUM021,2024-10-16 10:46:00,QR Ticket,General,Dahanukarwadi,Saki Naka,34,40,Metro App
TXN00000088,DEL012,2024-10-21 06:23:00,Token,General,Kashmere Gate,Kirti Nagar,22,30,Cash
TXN00000089,DEL104,2024-10-24 19:38:00,QR Ticket,Senior Citizen,Mansarovar Park,Udyog Nagar,51,50,NCMC Card
TXN00000090,KOL030,2024-12-28 10:34:00,Smart Card,General,City Centre,Kavi Nazrul,26,27,Metro App
TXN00000091,DEL103,2024-10-21 07:09:00,QR Ticket,General,Shahdara,Yamuna Bank,28,40,Metro App
TXN00000092,CHN018,2024-12-10 19:51:00,Monthly Pass,General,Mannadi,Wimco Nagar Depot,15,18,NCMC Card
TXN00000093,DEL181,2024-11-16 08:28:00,QR Ticket,Women,Ashram,Paschim Vihar East,31,40,NCMC Card
TXN00000094,HYD019,2024-10-29 07:44:00,Smart Card,General,Osmania Medical College,Rasoolpura,18,27,UPI
TXN00000095,DEL020,2024-10-10 05:30:00,QR Ticket,Senior Citizen,Lok Kalyan Marg,New Delhi,22,30,UPI
TXN00000096,DEL175,2024-11-02 05:19:00,Smart Card,Student,Durgabai Deshmukh South Campus,Welcome,20,27,Cash
TXN00000097,HYD051,2024-11-14 05:09:00,Monthly Pass,Women,Secunderabad West,Ameerpet,14,27,Credit/Debit Card
TXN00000098,LKO008,2024-10-31 14:04:00,QR Ticket,General,Mawaiya,Krishna Nagar,9,10,NCMC Card
TXN00000099,DEL038,2024-12-08 05:46:00,Smart Card,General,Dwarka Sector 21,Guru Dronacharya,21,27,UPI
TXN00000100,MUM044,2024-10-14 08:22:00,QR Ticket,Tourist,Churchgate,Kandarpada,65,50,NCMC Card
TXN00000101,MUM019,2024-12-06 07:48:00,Smart Card,General,Shimpoli,Girgaon,50,45,UPI
TXN00000102,HYD005,2024-11-09 18:53:00,Smart Card,General,Balanagar,LB Nagar,45,45,NCMC Card
TXN00000103,DEL188,2024-11-30 22:23:00,Smart Card,General,Anand Vihar ISBT,Arjan Garh,62,45,Credit/Debit Card
TXN00000104,MUM004,2024-10-19 11:44:00,QR Ticket,General,Andheri,Dahanukarwadi,23,30,UPI
TXN00000105,AMD033,2024-12-16 20:25:00,Monthly Pass,General,Thaltej,Rajivnagar,15,27,Metro App
TXN00000106,HYD016,2024-12-22 22:22:00,QR Ticket,General,Assembly,Paradise,11,20,Cash
TXN00000107,DEL097,2024-11-02 14:14:00,Token,Student,Pratap Nagar,Uttam Nagar East,33,40,Cash
TXN00000108,DEL012,2024-12-26 10:19:00,Monthly Pass,Student,Kashmere Gate,Dashrath Puri,28,36,UPI
TXN00000109,DEL164,2024-12-24 14:32:00,Token,General,Jasola Vihar Shaheen Bagh,Majlis Park,45,50,UPI
TXN00000110,MUM063,2024-11-19 13:54:00,Smart Card,General,Sahar Road,D.N. Nagar,10,9,NCMC Card
TXN00000111,DEL115,2024-12-02 12:19:00,Smart Card,Student,Lal Qila,Anand Vihar ISBT,20,27,NCMC Card
TXN00000112,DEL146,2024-11-30 16:10:00,QR Ticket,General,Dabri Mor Janakpuri South,Sector 28 Faridabad,67,60,NCMC Card
TXN00000113,MUM064,2024-11-11 06:37:00,Smart Card,General,CSIA International Airport,Dindoshi,22,27,Metro App
TXN00000114,DEL162,2024-10-13 12:22:00,Token,General,Jamia Millia Islamia,Adarsh Nagar,44,50,Cash
TXN00000115,DEL058,2024-10-15 10:01:00,QR Ticket,General,Moti Nagar,New Delhi,18,30,UPI
TXN00000116,BLR028,2024-11-30 17:20:00,Smart Card,General,Garudacharpalya,Sri Sathya Sai Hospital,11,18,NCMC Card
TXN00000117,PUN024,2024-12-04 20:42:00,QR Ticket,General,Pune Railway Station,Bhosari,33,40,Cash
TXN00000118,DEL087,2024-12-08 08:16:00,Token,General,Rithala,Tis Hazari,34,40,Cash
TXN00000119,DEL162,2024-11-13 09:36:00,Token,Senior Citizen,Jamia Millia Islamia,Rajiv Chowk,25,30,Cash
TXN00000120,CHN021,2024-12-09 10:26:00,Token,General,Tondiarpet,Little Mount Metro,19,30,Cash
TXN00000121,HYD011,2024-12-13 14:42:00,QR Ticket,Tourist,Ameerpet,JNTU College,23,30,Cash
TXN00000122,MUM062,2024-11-25 22:46:00,QR Ticket,Student,CSIA Domestic Airport,Rashtriya Udyan,38,40,NCMC Card
TXN00000123,DEL023,2024-11-25 11:55:00,QR Ticket,Women,AIIMS,Green Park,6,10,UPI
TXN00000124,DEL077,2024-12-16 09:15:00,QR Ticket,General,Noida Sector 18,Sarai Kale Khan Nizamuddin,30,40,UPI
TXN00000125,DEL182,2024-12-22 21:12:00,QR Ticket,General,Sarai Kale Khan Nizamuddin,Keshav Puram,18,30,UPI
TXN00000126,DEL176,2024-12-02 20:03:00,Smart Card,Women,Sir Vishweshwaraiah Moti Bagh,Mewala Maharajpur,71,54,UPI
TXN00000127,BLR058,2024-12-24 21:25:00,Smart Card,Differently-abled,South End Circle,RV Road,7,9,Cash
TXN00000128,DEL018,2024-12-14 22:59:00,Monthly Pass,General,Central Secretariat,Okhla NSIC,20,27,NCMC Card
TXN00000129,DEL125,2024-11-19 20:47:00,Smart Card,General,Kailash Colony,Shakurpur,48,45,NCMC Card
TXN00000130,DEL027,2024-12-15 06:34:00,Smart Card,General,Saket,Tikri Kalan,29,36,Credit/Debit Card
TXN00000131,DEL082,2024-10-19 10:45:00,Monthly Pass,General,Noida Sector 52,Palam,49,45,UPI
TXN00000132,BLR061,2024-10-07 18:50:00,Token,Student,Banashankari,Kengeri Bus Terminal,29,30,Cash
TXN00000133,BLR045,2024-10-31 20:24:00,QR Ticket,General,Peenya,Banashankari,26,30,Credit/Debit Card
TXN00000134,KOC024,2024-11-08 08:56:00,Monthly Pass,General,SN Junction,Edapally,19,27,NCMC Card
TXN00000135,DEL179,2024-10-11 20:31:00,Token,General,South Extension,Tughlakabad,56,50,NCMC Card
TXN00000136,HYD048,2024-12-04 06:26:00,Token,Student,Uppal,Habsiguda,13,20,Metro App
TXN00000137,NDA001,2024-12-22 07:25:00,QR Ticket,General,Noida Sector 51,Noida Sector 50,8,10,UPI
TXN00000138,PUN003,2024-12-23 19:54:00,QR Ticket,General,Bhosari,Bopodi,20,30,NCMC Card
TXN00000139,KOC013,2024-12-15 20:51:00,Smart Card,General,Kaloor,Petta,12,18,UPI
TXN00000140,DEL072,2024-10-03 22:59:00,Token,General,Mayur Vihar Phase-1,Akshardham,19,30,Cash
TXN00000141,DEL092,2024-12-19 12:16:00,Token,General,Netaji Subhash Place,Dwarka Mor,33,40,Cash
TXN00000142,PUN001,2024-12-26 14:14:00,Token,Student,PCMC,Vanaz,27,30,UPI
TXN00000143,HYD016,2024-12-16 08:52:00,Smart Card,General,Assembly,LB Nagar,27,27,Cash
TXN00000144,DEL075,2024-12-19 13:15:00,Smart Card,General,Noida Sector 15,AIIMS,41,36,Cash
TXN00000145,NDA001,2024-12-27 08:24:00,Smart Card,Student,Noida Sector 51,Noida Sector 76,11,18,Cash
TXN00000146,DEL016,2024-11-15 23:42:00,Smart Card,Tourist,Rajiv Chowk,Kashmere Gate,20,27,NCMC Card
TXN00000147,HYD003,2024-11-20 18:08:00,QR Ticket,Tourist,KPHB Colony,Khairatabad,24,30,NCMC Card
TXN00000148,NGP010,2024-10-17 06:45:00,Monthly Pass,General,Rahate Colony,Khapri,23,27,UPI
TXN00000149,DEL007,2024-11-16 22:18:00,Token,Women,Model Town,Lok Kalyan Marg,30,40,UPI
TXN00000150,KOC015,2024-12-02 19:09:00,Smart Card,General,MG Road,Kaloor,9,9,Credit/Debit Card
TXN00000151,BLR029,2024-11-30 09:45:00,Smart Card,General,Hoodi,City Railway Station,28,36,UPI
TXN00000152,KOL018,2024-11-28 14:54:00,Monthly Pass,Student,Kalighat,Netaji Bhavan,8,9,UPI
TXN00000153,DEL036,2024-11-04 17:42:00,Token,General,IFFCO Chowk,Janakpuri West,39,40,NCMC Card
TXN00000154,MUM033,2024-12-26 07:21:00,Smart Card,General,Poisar,Kandivali West,9,9,Cash
TXN00000155,BLR026,2024-10-20 05:29:00,Monthly Pass,Women,KR Puram,Chikkabidarakallu,44,36,Cash
TXN00000156,NDA019,2024-12-23 18:28:00,Smart Card,General,GNIDA Office,Noida Sector 145,25,27,Cash
TXN00000157,HYD054,2024-12-22 09:51:00,Smart Card,General,RTC Cross Roads,Madhapur,27,36,UPI
TXN00000158,LKO009,2024-10-12 05:13:00,Monthly Pass,General,Durgapuri,Singar Nagar,13,18,Metro App
TXN00000159,DEL164,2024-11-25 19:58:00,Smart Card,General,Jasola Vihar Shaheen Bagh,Sarai,33,36,Cash
TXN00000160,DEL142,2024-11-19 13:36:00,QR Ticket,Student,Bata Chowk,Sarai Kale Khan Nizamuddin,75,60,UPI
TXN00000161,DEL069,2024-12-05 10:29:00,QR Ticket,Student,Indraprastha,Ghitorni,43,50,Cash
TXN00000162,HYD052,2024-11-29 12:58:00,QR Ticket,Senior Citizen,Gandhi Hospital,HITEC City,31,40,UPI
TXN00000163,KNP014,2024-12-12 06:04:00,Smart Card,Women,Kanpur Central,LLR Hospital,13,18,NCMC Card
TXN00000164,MUM020,2024-11-15 09:05:00,Token,Senior Citizen,Kandivali West,Lower Malad,13,20,UPI
TXN00000165,MUM050,2024-11-08 10:46:00,Smart Card,General,Mumbai Central Metro,Worli,11,18,Cash
TXN00000166,BLR017,2024-10-24 06:38:00,Token,General,Vidhana Soudha,Vajarahalli,20,30,Cash
TXN00000167,DEL072,2024-11-21 21:47:00,QR Ticket,Student,Mayur Vihar Phase-1,Haiderpur Badli Mor,35,40,NCMC Card
TXN00000168,BLR067,2024-11-20 20:05:00,QR Ticket,General,Thalaghattapura,Swami Vivekananda Road,28,30,UPI
TXN00000169,DEL003,2024-12-23 08:15:00,Token,General,Haiderpur Badli Mor,Tikri Kalan,33,40,Cash
TXN00000170,DEL055,2024-10-22 21:47:00,QR Ticket,Student,Tagore Garden,Netaji Subhash Place,29,40,Credit/Debit Card
TXN00000171,MUM055,2024-11-20 06:00:00,Smart Card,General,Siddhivinayak,Akurli,39,36,Metro App
TXN00000172,DEL078,2024-11-07 05:25:00,QR Ticket,General,Botanical Garden,Tis Hazari,37,40,NCMC Card
TXN00000173,BLR044,2024-12-07 05:36:00,QR Ticket,General,Peenya Industry,Mantri Square Sampige Road,17,30,UPI
TXN00000174,KOL015,2024-11-14 12:27:00,QR Ticket,General,Rabindra Sadan,Jatin Das Park,9,10,UPI
TXN00000175,DEL064,2024-11-13 22:54:00,Smart Card,Women,Jhandewalan,Dwarka Sector 9,36,36,Cash
TXN00000176,DEL054,2024-12-26 18:23:00,Monthly Pass,Senior Citizen,Subhash Nagar,RK Puram,12,18,Metro App
TXN00000177,KOL022,2024-10-17 08:10:00,Token,Student,Masterda Surya Sen,Esplanade,21,30,Cash
TXN00000178,BHO005,2024-11-03 10:10:00,Smart Card,General,Bharat Talkies,Pul Bogda,6,9,Metro App
TXN00000179,MUM052,2024-12-11 09:16:00,Smart Card,Tourist,Science Museum,Dahisar East,54,45,Metro App
TXN00000180,HYD042,2024-12-05 17:06:00,Token,Student,Secunderabad East,Madhapur,29,30,Cash
TXN00000181,NDA017,2024-10-14 20:02:00,Smart Card,General,Alpha 1,Noida Sector 76,34,36,UPI
TXN00000182,DEL036,2024-12-04 14:55:00,Token,General,IFFCO Chowk,Mandi House,49,50,Cash
TXN00000183,DEL187,2024-11-01 20:30:00,Smart Card,General,IP Extension,Rohini West,35,36,NCMC Card
TXN00000184,DEL070,2024-10-20 19:33:00,Smart Card,General,Yamuna Bank,Kalindi Kunj,15,18,UPI
TXN00000185,CHN015,2024-11-16 22:28:00,Token,General,Government Estate,Chennai Central Metro,12,20,UPI
TXN00000186,KOC003,2024-10-08 11:02:00,Monthly Pass,Student,Companypady,Edapally,7,9,Cash
TXN00000187,AMD003,2024-12-06 23:26:00,QR Ticket,General,Rajivnagar,AEC,22,30,Cash
TXN00000188,MUM011,2024-11-05 21:39:00,Monthly Pass,Women,Jagruti Nagar,Kalbadevi,31,36,Cash
TXN00000189,DEL036,2024-12-29 10:51:00,Token,Senior Citizen,IFFCO Chowk,Shyam Park,83,60,Cash
TXN00000190,DEL006,2024-10-17 15:34:00,Token,General,Azadpur,Rajendra Place,35,40,UPI
TXN00000191,MUM048,2024-12-15 09:53:00,Smart Card,Senior Citizen,Girgaon,Chakala (J.B. Nagar),30,36,Cash
TXN00000192,AGR002,2024-11-15 07:48:00,Smart Card,Student,Basai,Taj East Gate,9,9,UPI
TXN00000193,DEL161,2024-12-14 17:57:00,Monthly Pass,Differently-abled,Sukhdev Vihar,Kohat Enclave,42,36,Cash
TXN00000194,KOL010,2024-12-13 18:45:00,QR Ticket,General,Central,Esplanade,12,20,Cash
TXN00000195,DEL102,2024-10-19 19:53:00,Token,General,Welcome,Guru Dronacharya,63,50,Cash
TXN00000196,DEL038,2024-12-11 15:25:00,QR Ticket,Women,Dwarka Sector 21,New Delhi,28,40,NCMC Card
TXN00000197,BLR068,2024-11-23 20:09:00,Monthly Pass,General,Silk Institute,Peenya,37,36,NCMC Card
TXN00000198,NDA020,2024-11-28 13:47:00,QR Ticket,General,Depot Station,Noida Sector 143,29,40,NCMC Card
TXN00000199,AMD004,2024-11-07 05:09:00,Smart Card,General,Shreyas,Shahpur Extended,7,9,UPI
TXN00000200,DEL054,2024-11-23 06:57:00,Smart Card,General,Subhash Nagar,Azadpur,33,36,UPI
TXN00000201,DEL161,2024-10-06 11:36:00,QR Ticket,General,Sukhdev Vihar,Samaypur Badli,47,50,NCMC Card
TXN00000202,DEL071,2024-10-18 14:29:00,Token,Senior Citizen,Akshardham,Mayur Vihar Pocket-1,29,40,Cash
TXN00000203,HYD005,2024-11-20 10:02:00,QR Ticket,Tourist,Balanagar,Yusufguda,16,30,Metro App
TXN00000204,HYD035,2024-11-09 16:07:00,QR Ticket,Student,Yusufguda,Stadium,31,40,UPI
TXN00000205,LKO011,2024-11-30 14:01:00,Monthly Pass,General,Hussainganj,Vishwavidyalaya,10,18,Credit/Debit Card
TXN00000206,DEL004,2024-12-14 12:51:00,Smart Card,General,Jahangirpuri,Naraina Vihar,20,27,UPI
TXN00000207,NGP018,2024-10-04 20:20:00,Smart Card,General,Khapri,Chitaroli Square,23,27,UPI
TXN00000208,KNP012,2024-10-20 09:26:00,Smart Card,Student,Bada Chauraha,Rawatpur,13,18,UPI
TXN00000209,LKO005,2024-10-19 11:20:00,Smart Card,General,Singar Nagar,KD Singh Babu Stadium,13,27,Credit/Debit Card
TXN00000210,AMD003,2024-12-05 19:24:00,QR Ticket,Differently-abled,Rajivnagar,Old High Court,8,20,UPI
TXN00000211,DEL114,2024-10-03 09:37:00,Smart Card,Student,Shaheed Sthal,Kashmere Gate,51,45,UPI
TXN00000212,MUM050,2024-12-21 14:50:00,Smart Card,Tourist,Mumbai Central Metro,Jagruti Nagar,28,36,UPI
TXN00000213,KNP017,2024-11-27 05:52:00,Smart Card,General,Baradevi,Bada Chauraha,15,18,Metro App
TXN00000214,DEL214,2024-12-16 09:43:00,Monthly Pass,General,Tikri Border,Samaypur Badli,40,36,UPI
TXN00000215,BLR038,2024-12-12 06:05:00,Smart Card,General,Madavara,Sri Sathya Sai Hospital,55,45,UPI
TXN00000216,DEL115,2024-11-10 21:21:00,Smart Card,Student,Lal Qila,Uttam Nagar East,29,36,Credit/Debit Card
TXN00000217,HYD015,2024-12-16 10:58:00,Smart Card,Student,Lakdikapul,Madhura Nagar,16,27,Cash
TXN00000218,DEL095,2024-12-29 19:48:00,QR Ticket,General,Inderlok,Ashok Park Main,14,20,UPI
TXN00000219,KOL024,2024-11-26 18:22:00,Token,Tourist,Kavi Nazrul,Rabindra Sarobar,16,20,UPI
TXN00000220,DEL184,2024-11-17 22:28:00,Monthly Pass,General,Trilokpuri Sanjay Lake,Sarojini Nagar,12,18,Cash
TXN00000221,HYD037,2024-12-20 09:45:00,Smart Card,General,Begumpet,Rasoolpura,12,18,Credit/Debit Card
TXN00000222,JAI001,2024-10-01 08:52:00,QR Ticket,Student,Mansarovar,Railway Station,16,30,UPI
TXN00000223,DEL100,2024-12-26 18:36:00,Smart Card,General,Shastri Park,Malviya Nagar,54,45,NCMC Card
TXN00000224,HYD008,2024-11-05 08:43:00,Token,General,Erragadda,Gandhi Hospital,20,30,Credit/Debit Card
TXN00000225,BLR044,2024-12-26 22:03:00,Smart Card,Women,Peenya Industry,Jayanagar,25,27,UPI
TXN00000226,KOL015,2024-12-06 19:56:00,QR Ticket,Student,Rabindra Sadan,Shyambazar,20,30,UPI
TXN00000227,AMD017,2024-12-13 20:47:00,Smart Card,General,Vastral Gam,Kalupur Railway Station,15,27,Cash
TXN00000228,LKO019,2024-12-20 07:30:00,Smart Card,General,Bhootnath Market,Singar Nagar,18,27,UPI
TXN00000229,CHN034,2024-11-13 20:52:00,Smart Card,General,Arumbakkam,Anna Nagar Tower,16,27,Metro App
TXN00000230,KOC020,2024-12-14 07:03:00,Token,Women,Vyttila,Maharaja's College,8,10,UPI
TXN00000231,BLR051,2024-12-18 18:04:00,Token,General,Mahakavi Kuvempu Road,Pattanagere,17,30,Cash
